"X","Y","orig_ident","reads_per_cell","genes_per_cell","cluster_id","cluster_name","index","dat"
4823.97421705641,10843.7787463678,0,417,216,4,"eL2/3","Dat1_Cell_00087",1
4824.69817451974,3168.30172990538,0,226,107,1,"Oligo","Dat1_Cell_00088",1
4841.42092323499,13798.4905328049,0,603,270,5,"VIP","Dat1_Cell_00089",1
4841.8150002878,5419.20739077879,0,271,137,11,"Oligo","Dat1_Cell_00091",1
4847.41451597274,8743.81430278756,0,761,370,10,"eL4","Dat1_Cell_00092",1
4850.19606649675,9025.11207060524,0,732,362,5,"eL4","Dat1_Cell_00093",1
4862.95298480132,4867.88555209669,0,674,315,2,"eL6","Dat1_Cell_00094",1
4854.51615685373,10374.9842456302,0,446,245,2,"eL4","Dat1_Cell_00095",1
4873.70488322718,4736.00553303738,0,318,171,11,"eL6","Dat1_Cell_00096",1
4856.91094771242,4509.92892156863,0,202,128,5,"eL5","Dat1_Cell_00098",1
4864.5000910498,9416.87594464172,0,541,274,1,"eL4","Dat1_Cell_00099",1
4877.97300376461,3986.99762234991,0,434,226,5,"eL6","Dat1_Cell_00100",1
4856.88125244618,1696.07499021526,0,205,113,6,"eL4","Dat1_Cell_00101",1
4898.0127775516,12086.1468478908,0,897,398,5,"eL2/3","Dat1_Cell_00102",1
4893.32665550488,613.550083713411,0,272,158,0,"Astro","Dat1_Cell_00103",1
4866.43955563037,11766.3026763171,0,726,355,3,"eL2/3","Dat1_Cell_00104",1
4864.44754464286,9841.23563988095,0,787,381,5,"eL4","Dat1_Cell_00105",1
4898.21092534992,10224.8553006739,0,324,177,2,"eL4","Dat1_Cell_00106",1
4889.26176772867,2713.41495375128,0,293,153,5,"Oligo","Dat1_Cell_00107",1
4916.55985105226,6437.64716957449,0,456,230,2,"eL6","Dat1_Cell_00109",1
4939.34531505905,4612.98599258685,0,719,361,3,"eL6","Dat1_Cell_00112",1
4927.93833395354,8174.85540375312,0,524,260,2,"PVALB","Dat1_Cell_00113",1
4938.64615635711,13137.8662477558,0,207,113,8,"eL6","Dat1_Cell_00114",1
4945.30983931553,1967.21854131886,0,298,138,5,"Oligo","Dat1_Cell_00115",1
4944.17389624724,8616.01451434879,0,443,237,7,"eL4","Dat1_Cell_00116",1
4948.11790979737,8320.84131018956,0,886,395,13,"eL4","Dat1_Cell_00117",1
4941.49629338701,12677.4416515293,0,363,179,7,"VIP","Dat1_Cell_00118",1
4973.97140990855,5400.31901316451,0,382,196,5,"eL6","Dat1_Cell_00120",1
4953.61641433331,7366.15373823581,0,340,173,8,"Oligo","Dat1_Cell_00121",1
4953.59915836316,1775.97494437458,0,443,236,10,"SST","Dat1_Cell_00122",1
4984.07295863551,11301.3149677679,0,811,333,1,"SST","Dat1_Cell_00123",1
4982.43852187884,6141.3125413477,0,908,399,10,"eL6","Dat1_Cell_00124",1
4964.7853141377,10434.8857297753,0,294,164,1,"eL2/3","Dat1_Cell_00125",1
4983.48403352702,9567.2963953309,0,537,278,1,"eL4","Dat1_Cell_00126",1
5001.53116826504,9447.83505884917,0,481,269,2,"eL2/3","Dat1_Cell_00128",1
5019.34271510516,11143.3958699809,0,296,153,2,"SST","Dat1_Cell_00130",1
5038.51656222023,2729.62260021884,0,375,193,8,"Oligo","Dat1_Cell_00131",1
5042.44509066028,3284.77424734861,0,360,211,5,"Astro","Dat1_Cell_00133",1
5061.44616997575,1763.36970054387,0,305,169,8,"Endo","Dat1_Cell_00134",1
5042.83824051082,4035.08566867684,0,835,389,2,"eL6","Dat1_Cell_00137",1
5081.92792100284,4446.09892384106,0,301,157,5,"eL6","Dat1_Cell_00138",1
5067.0376440461,8086.72142552283,0,568,320,3,"eL5","Dat1_Cell_00139",1
5100.33706020675,7917.80083410977,0,613,314,6,"eL5","Dat1_Cell_00141",1
5090.44349414598,1862.96354728888,0,205,113,8,"Micro","Dat1_Cell_00142",1
5086.4473935264,9136.66756388416,0,684,303,8,"SST","Dat1_Cell_00143",1
5120.59269333583,9873.89654363832,0,327,193,10,"eL2/3","Dat1_Cell_00144",1
5115.95549359769,10157.6750826105,0,325,184,4,"eL4","Dat1_Cell_00145",1
5132.93554576774,2341.65684008547,0,381,188,13,"Oligo","Dat1_Cell_00146",1
5103.3552327949,6319.910818515,0,205,126,2,"Endo","Dat1_Cell_00147",1
5139.96384484272,11440.9702494706,0,393,226,2,"eL2/3","Dat1_Cell_00148",1
5135.10784053156,3904.89634551495,0,321,176,5,"Oligo","Dat1_Cell_00149",1
5128.1883816087,13072.1491870356,0,421,199,7,"Astro","Dat1_Cell_00150",1
5132.02019520852,5279.01295474712,0,730,367,4,"eL6","Dat1_Cell_00151",1
5143.64343819739,11557.1092074005,0,354,240,2,"eL2/3","Dat1_Cell_00152",1
5155.3500151653,11668.432211101,0,372,206,6,"eL6","Dat1_Cell_00153",1
5137.85528107372,4792.12779614861,0,626,322,5,"eL6","Dat1_Cell_00154",1
5146.12673432682,11019.8342754368,0,221,129,1,"eL2/3","Dat1_Cell_00155",1
5176.36424691358,7597.45748148148,0,349,206,5,"eL5","Dat1_Cell_00156",1
5168.39875407891,2171.39032927915,0,244,136,13,"Oligo","Dat1_Cell_00158",1
5176.21343623482,5045.62145748988,0,676,334,7,"eL6","Dat1_Cell_00159",1
5173.99425896485,6450.09874580463,0,569,298,8,"eL5","Dat1_Cell_00161",1
5186.23340264746,7204.93077040118,0,301,157,1,"Oligo","Dat1_Cell_00162",1
5192.68134487517,1817.43401078911,0,209,126,1,"Micro","Dat1_Cell_00163",1
5185.56354957442,4061.40004600874,0,249,144,2,"Endo","Dat1_Cell_00164",1
5180.25016137842,12200.779482596,0,253,136,8,"Endo","Dat1_Cell_00165",1
5167.85351374945,3723.25250982104,0,584,281,5,"SST","Dat1_Cell_00166",1
5180.93786878199,4231.80661169943,0,442,236,11,"eL6","Dat1_Cell_00167",1
5197.5043074884,4413.01141866748,0,318,173,8,"Micro","Dat1_Cell_00168",1
5208.37714863499,9713.22739018088,0,287,167,15,"eL6","Dat1_Cell_00170",1
5195.11280371048,12584.3977703076,0,454,234,11,"Endo","Dat1_Cell_00171",1
5211.55794016791,6114.94271018092,0,223,137,2,"eL6","Dat1_Cell_00172",1
5218.97606032045,13019.8195570217,0,401,229,13,"Endo","Dat1_Cell_00173",1
5219.70831953838,13514.974554226,0,271,157,1,"Endo","Dat1_Cell_00175",1
5240.76024562809,6893.11002536377,0,1076,461,0,"eL6","Dat1_Cell_00176",1
5241.62313629608,14035.7159020087,0,210,94,11,"Micro","Dat1_Cell_00177",1
5213.69058918856,7432.33510823012,0,202,118,2,"Oligo","Dat1_Cell_00178",1
5232.30905752754,4901.29259485924,0,277,161,6,"eL6","Dat1_Cell_00179",1
5230.02426205464,1622.09252582045,0,275,151,8,"Astro","Dat1_Cell_00180",1
5220.28367555593,5958.77068245719,0,527,278,8,"eL6","Dat1_Cell_00181",1
5256.33135009394,10525.1593450837,0,456,245,7,"eL5","Dat1_Cell_00182",1
5248.71112816577,10903.3346635968,0,423,246,8,"eL4","Dat1_Cell_00183",1
5270.22604917813,8780.72763918126,0,553,330,8,"eL2/3","Dat1_Cell_00184",1
5250.67286804224,9965.48573683617,0,462,263,2,"Micro","Dat1_Cell_00185",1
5290.82350751824,12632.3937769838,0,207,115,1,"Endo","Dat1_Cell_00186",1
5272.7336667376,4688.76883379442,0,384,220,3,"eL6","Dat1_Cell_00187",1
5278.49971735444,11560.3772752968,0,233,137,2,"Endo","Dat1_Cell_00189",1
5301.15028061736,10381.110543195,0,424,227,8,"eL4","Dat1_Cell_00190",1
5295.44361343305,5776.05460233661,0,548,264,8,"eL6","Dat1_Cell_00191",1
5271.27528594771,8961.27651143791,0,605,310,7,"Micro","Dat1_Cell_00192",1
5313.50733371234,1940.03291642979,0,275,148,7,"Astro","Dat1_Cell_00195",1
5293.44810031112,2055.08423682474,0,298,158,10,"Astro","Dat1_Cell_00196",1
5291.54354539839,5148.33824891909,0,422,228,10,"eL6","Dat1_Cell_00197",1
5313.99310344828,5254.17181409295,0,203,126,2,"eL6","Dat1_Cell_00198",1
5331.03575975644,7467.80464987545,0,356,190,10,"Astro","Dat1_Cell_00199",1
5317.99629171817,12074.5106369137,0,246,144,15,"Endo","Dat1_Cell_00200",1
5342.35127553257,3337.48737617253,0,342,158,8,"Oligo","Dat1_Cell_00202",1
5340.07283736254,3734.98410578336,0,587,312,5,"eL6","Dat1_Cell_00203",1
5331.12102024119,8407.47326669275,0,711,327,11,"eL5","Dat1_Cell_00204",1
5338.31523031793,9731.32137477206,0,672,321,1,"PVALB","Dat1_Cell_00205",1
5300.5469781615,13377.2005459624,0,646,306,0,"Endo","Dat1_Cell_00206",1
5342.56374953843,11873.0405127394,0,211,116,8,"Endo","Dat1_Cell_00207",1
5326.73620006099,13555.2150655688,0,274,156,4,"Endo","Dat1_Cell_00208",1
5340.05306831339,13685.6879583173,0,309,174,2,"eL2/3","Dat1_Cell_00209",1
5328.5061547326,4538.05625687497,0,430,230,8,"eL5","Dat1_Cell_00210",1
5326.96151400839,12375.3281057941,0,313,164,2,"Endo","Dat1_Cell_00211",1
5339.00493951613,12836.8568548387,0,454,220,10,"Endo","Dat1_Cell_00213",1
5344.97054060787,6026.63627304435,0,361,212,1,"eL4","Dat1_Cell_00214",1
5355.19614616281,11219.6233977027,0,391,206,5,"Endo","Dat1_Cell_00215",1
5361.6840534086,10856.8903061224,0,446,241,2,"eL2/3","Dat1_Cell_00216",1
5343.35902255639,4050.54235197368,0,366,197,7,"eL6","Dat1_Cell_00217",1
5375.46127323186,11453.944621983,0,374,184,7,"Endo","Dat1_Cell_00218",1
5374.98915688141,8971.8995556966,0,661,327,2,"eL4","Dat1_Cell_00219",1
5359.78593160923,5476.64938157286,0,784,368,1,"eL6","Dat1_Cell_00220",1
5364.85342924055,13190.8779859485,0,819,363,15,"eL2/3","Dat1_Cell_00221",1
5386.46028513238,12214.546982948,0,640,299,5,"eL2/3","Dat1_Cell_00222",1
5389.54020857474,4911.11572035535,0,290,157,2,"eL6","Dat1_Cell_00223",1
5381.01519258652,14288.8794679443,0,218,103,5,"Endo","Dat1_Cell_00224",1
5393.64471842719,6985.44718427191,0,370,203,2,"eL5","Dat1_Cell_00225",1
5400.60773007091,5137.07161224967,0,307,183,1,"eL6","Dat1_Cell_00226",1
5414.07149589971,10017.0011782449,0,315,176,13,"eL4","Dat1_Cell_00227",1
5400.46872449358,1388.57572159976,0,321,175,7,"Astro","Dat1_Cell_00228",1
5395.16770640623,4216.09968592695,0,667,323,7,"eL6","Dat1_Cell_00229",1
5421.85376266281,4638.46534008683,0,224,126,9,"eL6","Dat1_Cell_00232",1
5433.89718976532,8735.8840819569,0,711,324,8,"Astro","Dat1_Cell_00233",1
5448.93597355043,6864.38863806036,0,983,425,1,"eL6","Dat1_Cell_00234",1
5410.28772653473,1504.05445609724,0,399,178,11,"SST","Dat1_Cell_00235",1
5452.63802306425,13038.3819110379,0,903,389,11,"eL2/3","Dat1_Cell_00237",1
5477.3800034656,11118.739328828,0,208,111,7,"Astro","Dat1_Cell_00238",1
5472.91264418083,8147.79954080796,0,218,136,2,"Endo","Dat1_Cell_00240",1
5488.95433364399,11772.8082758621,0,541,268,11,"eL2/3","Dat1_Cell_00241",1
5494.66029671841,10670.0795342896,0,359,174,9,"Endo","Dat1_Cell_00242",1
5508.20967534555,12375.1016393443,0,975,445,2,"eL2/3","Dat1_Cell_00243",1
5534.74883589671,14289.8537227788,0,492,211,5,"Endo","Dat1_Cell_00247",1
5513.09538010514,10084.5491811565,0,347,176,1,"Endo","Dat1_Cell_00249",1
5524.27689126121,8528.45728418523,0,1020,440,11,"Astro","Dat1_Cell_00251",1
5536.54203005501,11293.5035220716,0,791,366,5,"eL2/3","Dat1_Cell_00252",1
5540.18737466913,3258.04929012593,0,452,189,3,"Oligo","Dat1_Cell_00253",1
5541.31687053558,7028.87945675833,0,531,269,5,"eL6","Dat1_Cell_00254",1
5556.8570941337,13350.6025466121,0,391,196,13,"eL6","Dat1_Cell_00255",1
5545.02944262295,7951.83836065574,0,247,140,13,"eL6","Dat1_Cell_00256",1
5548.02917722693,12122.2437411139,0,254,118,2,"Astro","Dat1_Cell_00257",1
5549.55238218876,9590.29683240296,0,236,131,11,"Endo","Dat1_Cell_00258",1
5547.93082516978,6226.84800769277,0,420,216,12,"eL6","Dat1_Cell_00259",1
5562.93499651689,10385.5272988506,0,269,145,8,"Endo","Dat1_Cell_00260",1
5549.03078610603,1658.26310786106,0,251,143,14,"eL5","Dat1_Cell_00261",1
5567.62506393862,5188.9510230179,0,448,228,1,"eL6","Dat1_Cell_00262",1
5571.75678336307,10669.6361287147,0,277,163,12,"Endo","Dat1_Cell_00263",1
5573.60666698735,1901.77516956083,0,376,187,2,"Oligo","Dat1_Cell_00264",1
5580.02438922705,6473.407987993,0,582,302,1,"eL5","Dat1_Cell_00265",1
5565.0682830282,2719.53653306944,0,345,183,2,"Oligo","Dat1_Cell_00266",1
5587.37380679649,7361.2538373425,0,210,123,0,"Oligo","Dat1_Cell_00267",1
5592.24398802283,5850.21568260503,0,691,324,2,"eL6","Dat1_Cell_00268",1
5594.8933113047,4121.74571943527,0,499,248,13,"Astro","Dat1_Cell_00269",1
5620.63742889647,5279.45381114903,0,509,275,10,"eL6","Dat1_Cell_00270",1
5614.80845960972,12842.631908863,0,521,282,8,"eL2/3","Dat1_Cell_00271",1
5640.03932288236,6214.3488341457,0,465,256,2,"eL6","Dat1_Cell_00273",1
5626.37780555405,12962.3350361393,0,409,201,12,"Oligo","Dat1_Cell_00274",1
5658.37992594552,9155.81380587146,0,230,130,7,"Endo","Dat1_Cell_00275",1
5641.84985707155,4005.28857933663,0,417,206,12,"Oligo","Dat1_Cell_00276",1
5678.45725470388,4718.85873637244,0,573,270,2,"VIP","Dat1_Cell_00277",1
5637.58152517986,8732.02705035971,0,259,140,8,"Astro","Dat1_Cell_00278",1
5655.98219953943,3737.83867554615,0,274,153,11,"eL6","Dat1_Cell_00279",1
5667.06564440502,4597.70073501457,0,269,147,7,"Micro","Dat1_Cell_00280",1
5638.50438749327,5485.35191814236,0,738,346,1,"eL6","Dat1_Cell_00282",1
5679.31309556221,8888.11264633814,0,254,136,2,"Endo","Dat1_Cell_00283",1
5674.27360919816,9525.98478950835,0,269,136,8,"Endo","Dat1_Cell_00284",1
5665.75649246553,7518.49556481778,0,335,163,13,"Oligo","Dat1_Cell_00285",1
5679.74018263255,11966.4573799521,0,822,356,6,"eL2/3","Dat1_Cell_00287",1
5673.20164991576,2151.97583221983,0,297,147,0,"Oligo","Dat1_Cell_00288",1
5676.52733223045,11026.4981299,0,603,288,8,"Astro","Dat1_Cell_00289",1
5693.66436893466,11521.9740761766,0,977,422,7,"eL2/3","Dat1_Cell_00290",1
5685.31238433066,7333.34939851943,0,228,136,2,"eL6","Dat1_Cell_00291",1
5676.36995241332,14248.3292997961,0,873,382,10,"Astro","Dat1_Cell_00292",1
5707.21695617986,5769.87147044106,0,250,141,10,"Endo","Dat1_Cell_00294",1
5699.78510477738,2282.29395716027,0,277,134,2,"Oligo","Dat1_Cell_00295",1
5702.24320477191,8413.0494814614,0,335,173,1,"Endo","Dat1_Cell_00296",1
5700.83707557503,1910.56523822563,0,253,136,1,"SST","Dat1_Cell_00298",1
5719.41794940693,10467.5922613335,0,730,350,7,"eL2/3","Dat1_Cell_00299",1
5716.9567715147,9634.17433593083,0,294,164,1,"Endo","Dat1_Cell_00300",1
5728.55361523187,3131.98896156991,0,346,134,11,"Oligo","Dat1_Cell_00301",1
5738.49276181859,10036.7912614039,0,714,340,8,"eL4","Dat1_Cell_00302",1
5757.90592731116,5176.96633872673,0,674,305,7,"eL6","Dat1_Cell_00305",1
5733.08801663306,13303.0961441532,0,501,264,6,"eL2/3","Dat1_Cell_00306",1
5766.29432267059,8858.90008519867,0,330,163,0,"Endo","Dat1_Cell_00307",1
5743.66837037037,8321.14822222222,0,249,129,2,"Endo","Dat1_Cell_00308",1
5738.51091533329,10836.1770421714,0,249,133,1,"eL2/3","Dat1_Cell_00309",1
5740.46087225487,5018.31580575317,0,672,331,8,"eL6","Dat1_Cell_00310",1
5753.75080645161,13426.9437903226,0,204,113,13,"Endo","Dat1_Cell_00311",1
5764.67607133351,8508.63075592228,0,296,146,8,"Endo","Dat1_Cell_00312",1
5762.72274869245,3899.12655999171,0,554,303,9,"eL6","Dat1_Cell_00314",1
5783.5447369415,744.62873437323,0,597,278,10,"VIP","Dat1_Cell_00315",1
5734.75418309709,13513.608494085,0,341,170,13,"Micro","Dat1_Cell_00316",1
5806.31745557712,1407.74245931014,0,318,159,0,"Astro","Dat1_Cell_00317",1
5770.90877055599,12711.033476899,0,501,253,15,"Micro","Dat1_Cell_00318",1
5795.1897680294,2374.215606339,0,348,175,7,"Oligo","Dat1_Cell_00319",1
5792.33886085076,4182.6929732128,0,509,288,10,"eL6","Dat1_Cell_00320",1
5821.46471513134,13602.105345912,0,345,187,10,"Endo","Dat1_Cell_00322",1
5823.80613318635,1920.72310467505,0,272,159,7,"Astro","Dat1_Cell_00323",1
5792.02640893003,12584.7434885198,0,700,333,11,"eL6","Dat1_Cell_00324",1
5818.03164197203,9836.88885520482,0,534,273,8,"eL4","Dat1_Cell_00325",1
5819.22539706665,4839.85101451478,0,674,314,5,"eL6","Dat1_Cell_00327",1
5858.13835480674,5611.39151635282,0,694,321,0,"eL6","Dat1_Cell_00328",1
5849.89871480221,11308.1340617,0,696,294,1,"eL4","Dat1_Cell_00329",1
5843.88301090176,11987.2587749701,0,771,360,0,"eL2/3","Dat1_Cell_00330",1
5835.47750487777,13285.8433375416,0,423,224,4,"Endo","Dat1_Cell_00331",1
5836.96079360379,3178.31827065443,0,282,118,11,"Oligo","Dat1_Cell_00332",1
5849.8813559322,7841.83579132732,0,273,153,8,"Oligo","Dat1_Cell_00333",1
5861.53156603435,5049.23266112142,0,403,210,2,"eL6","Dat1_Cell_00335",1
5859.00260797408,5786.56802465721,0,720,354,11,"eL6","Dat1_Cell_00337",1
5877.1052381518,8301.81256681316,0,603,327,8,"eL5","Dat1_Cell_00338",1
5856.90057441741,1020.61271190398,0,384,183,1,"Astro","Dat1_Cell_00339",1
5882.3506516073,11763.3326962062,0,205,108,2,"Micro","Dat1_Cell_00340",1
